0 0.00588953
1 0.00547136
2 0.00501316
3 0.0049943
4 0.0050555
5 0.00495346
6 0.00497553
7 0.00509926
8 0.00509504
9 0.00508386
10 0.00497882
11 0.00497752
12 0.00495464
13 0.00495512
14 0.00497168
15 0.00495414
16 0.00497823
17 0.00495905
18 0.00495946
19 0.0049795
20 0.00495417
21 0.00495383
22 0.00495456
23 0.00495365
24 0.00497855
25 0.00495851
26 0.00495839
27 0.00497271
28 0.00495454
29 0.00495462
30 0.00495374
31 0.0049512
32 0.00496952
33 0.00495227
34 0.00495177
35 0.00496992
36 0.00495598
37 0.00497386
38 0.00495805
39 0.00495346
40 0.0049803
41 0.00495912
42 0.00495916
43 0.00495496
44 0.00495355
45 0.00496943
46 0.00495195
47 0.00494903
48 0.00506252
49 0.00512452
50 0.00517677
51 0.00509659
52 0.00509079
53 0.00506995
54 0.00495523
55 0.00495363
56 0.00495695
57 0.00495607
58 0.00497685
59 0.00496096
60 0.00495927
61 0.00497204
62 0.00495548
63 0.00495415
64 0.00495947
65 0.00495781
66 0.00497561
67 0.00495977
68 0.0049733
69 0.00497212
70 0.00477803
71 0.00466099
72 0.00494116
73 0.00495237
74 0.00497027
75 0.00495445
76 0.00495801
77 0.00497168
78 0.00495083
79 0.00496835
80 0.00495194
81 0.00495098
82 0.00498277
83 0.00495865
84 0.00495882
85 0.00495345
86 0.00495137
87 0.00497008
88 0.00496011
89 0.00495652
90 0.00497866
91 0.00495413
92 0.00495295
93 0.00495359
94 0.00495172
95 0.00496946
96 0.00495321
97 0.0049532
98 0.00497331
99 0.00495917
